"","barcode","Genotype","line","compartment","plant_height","branch_number","pod_weight_plant","main","pods_plant","pods_branch","weight_pod","first_flowers_DAS","peak_flowers_DAS","flowering_days_to_peak","total_flowering_days","pixel.day_peak","pixel.days_to_peak","total_pixel.days","mean_pixel.days_to_peak","R01_raceme_start","R02_mean_rate","R03_max_rate","R04_DAS_of_max_rate","R05_main_ext_period","R06_50ht_period","R07_75ht_period","R08_50ht_rate","R09_75ht_rate","R10_max_height","R11_max_height_DAS","R12_extension_days_to_max","seed wt_10p_g","seeds_per_pod","TGW_g","BBCH51","BBCH61"
"76","BR024-12114","N5","L7","C5",100,6,52.5,NA,NA,NA,NA,47,61,15,52,33894,192500,447767,12833.33333,44.39033565,29.97539358,88.97940292,46.39039352,24.68357915,7.327608631,14.78026223,56.1574752,41.72794708,1121,79.38925926,34.99892361,5665,15,3.85,35,48
"77","BR024-12215","N5","L1","C6",114,6,51.2,NA,NA,NA,NA,47,60,14,44,26399,188495,346172,13463.92857,42.52798611,31.65026184,97.98865872,44.52826389,26.84653935,7.577959346,20.21141226,64.99111139,35.41316118,1193,81.52795139,38.99996528,4810,9,5.23,35,46
"78","BR024-12216","N5","L2","C6",118,12,52.3,53,462,36,0.113203463,48,59,12,20,32804,157409,332801,13117.41667,43.59737269,38.64543439,96.00333345,46.5975,24.23313426,8.974628762,15.55116217,61.33958458,50.91259362,1265,89.59711806,45.99974537,4977,11,4.4,39,50
"79","BR024-12217","N5","L4","C6",93,10,59.2,79,520,47,0.113846154,46,57,12,37,36624,159347,363165,13278.91667,43.70962963,46.91811388,105.0072922,44.70956019,13.64718116,4.669654741,9.276416584,77.41471694,57.75398239,997,102.709537,58.99990741,5129,10,4.98,38,49
"80","BR024-12218","N5","L5","C6",110,6,54,NA,NA,NA,NA,45,58,14,23,32938,240054,397857.5,17146.71429,41.78405093,29.48850759,109.9961807,44.78396991,27.52258647,5.936802662,16.02532651,76.47213927,42.27682971,1194,75.78353009,33.99947917,5212,11,4.78,36,46
"81","BR024-13111","N6","L1","C5",120,9,60.1,NA,NA,NA,NA,53,68,16,34,36117,220581,470012,13786.3125,51.0178588,41.65524445,100.998831,52.01787037,21.74996238,8.804887364,15.76390866,57.92237639,48.05280316,1290,82.01788194,31.00002315,5323,14,3.75,46,55
"82","BR024-13112","N6","L2","C5",110,12,67.1,92,489,38,0.137218814,53,67,15,31,41035,280163,544032,18677.53333,49.0991088,45.48628534,115.0066555,53.09914352,17.54594806,6.170728114,12.39165104,74.3024148,54.12918728,1149,79.09944444,30.00033565,4802,15,3.31,42,53
"83","BR024-13113","N6","L4","C5",141,12,53.9,42,535,41,0.100747664,54,67,14,35,42710,240496,568719,17178.28571,51.20472222,48.50295128,164.0227809,54.20459491,22.6501681,8.854247685,16.0539527,70.58758939,57.36904905,1484,85.20702546,34.00230324,6428,20,3.21,46,55
"84","BR024-13114","N6","L5","C5",103,10,54.2,17,458,42,0.118340611,55,69,15,33,55392,252682,658603.5,16845.46667,51.29739583,31.45443197,93.98585861,53.29747685,23.1922802,10.53576472,16.80993819,39.81675857,36.48139529,1075,85.29753472,34.00013889,5000,13,3.76,47,55
"85","BR024-13215","N6","L1","C6",118,9,49.6,NA,NA,NA,NA,54,67,14,35,32172,178335,435782.5,12738.21429,51.51407407,46.47223169,116.9891677,53.51421296,18.804778,7.081427918,13.29469256,69.68933466,55.00315231,1251,81.51418981,30.00011574,5670,17,3.44,46,56
