plant_id,genotype_name,R01_raceme_start,R02_mean_rate,R03_max_rate,R04_DAS_of_max_rate,R05_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max
BR024-15113,PH15,55.21287037,21.68980991,47.9966669,55.21287037,30.64572731,14.23686495,30.11386688,24.12750288,18.0730692,1103,86.2131713,31.00030093
BR024-16111,PH16,63.32868056,33.58449955,84.01264079,68.32854167,28.53995185,7.815134737,20.16416224,66.08971148,39.31479973,1405,95.32884259,32.00016204
BR024-16112,PH16,55.10430556,30.85153277,73.99828708,61.10405093,27.1137258,7.264000331,14.11818896,61.46750821,48.89083167,1275,103.1042708,47.99996528
BR024-16113,PH16,71.21950231,30.84235735,53.01104397,78.21949074,22.54367239,11.1787996,17.20542958,37.25802544,34.33509155,997,104.2226042,33.00310185
BR024-16114,PH16,76.29858796,35.97138334,76.00263898,83.29851852,23.05999722,8.988140845,16.78986644,49.34279598,40.78352872,1265,104.2983333,27.99974537
BR024-16215,PH16,63.58108796,45.54402248,84.99114676,67.58126157,18.90039468,6.16691358,12.70388632,76.53747598,56.28198979,1272,93.58136574,30.00027778
BR024-16216,PH16,74.66605324,31.37965768,48.01278118,79.6030787,21.60954102,8.452078908,15.23976288,41.94234387,36.53272064,1109,103.6034028,28.93734954
BR024-16217,PH16,69.72472222,23.40734374,48.99376237,70.72484954,26.92744665,10.25882563,18.29370635,33.4833647,28.5754013,1017,104.7248032,35.00008102
BR024-16218,PH16,65.88993056,40.09981969,65.96335369,68.89069444,16.28935005,5.885332158,11.43397917,58.7902247,47.05273572,1068,99.89690972,34.00697917
BR024-17111,PH17,47.02190972,47.16086623,81.00093751,51.02164352,30.77975694,13.51896924,22.52539797,60.8034522,53.96131077,1874,94.02171296,46.99980324
BR024-17112,PH17,51.15287037,53.05705,95.99666678,55.15292824,26.52239429,12.27587963,19.88789234,64.51676164,59.15659538,1838,100.1585417,49.0056713
BR024-17113,PH17,48.27972222,50.1522143,81.98576636,51.27987269,28.52715518,12.26845872,21.08780679,65.00409043,56.58483179,1883,92.28003472,44.0003125
BR024-17114,PH17,49.29951389,48.68214582,92.00532438,52.29953704,31.87616269,13.19625,23.54066778,64.48801743,54.75630565,2052,89.29972222,40.00020833
BR024-17215,PH17,48.53163194,47.19072092,85.00491927,51.53152778,27.4142877,11.51053759,20.40180194,62.94232517,52.94875439,1723,95.53178241,47.00015046
